society,property_type,price,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_id,sector,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
ardee city,house,2.25,16071.0,Plot area 2160(200.67 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1400.0,3.0,3,3,4.0,South-East,New Property,,sector 52,,1800.0,1400.0,0,1,0,0,0,2,22,466.6666666666667
assotech blith,flat,0.92,6740.0,Super Built up area 1365(126.81 sq.m.),1365.0,2.0,2,3+,22.0,,Under Construction,K68182666,sector 99,1365.0,,,0,0,0,0,0,0,56,682.5
independent,house,1.45,12393.0,Plot area 130(108.7 sq.m.)Built Up area: 130 sq.yards (108.7 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),1170.0,4.0,4,2,2.0,North,Old Property,,sector 15,,130.0,100.0,0,0,0,0,1,0,13,292.5
sare green parc,flat,0.85,6741.0,Built Up area: 1261 (117.15 sq.m.),1261.0,3.0,2,2,14.0,,Undefined,Q69238056,sector 92,,1261.0,,0,0,0,0,0,0,0,420.3333333333333
mrg world ultimus,flat,0.5,6983.0,Carpet area: 716 (66.52 sq.m.),716.0,2.0,2,2,1.0,North-East,Under Construction,K68195520,sector 90,,,716.0,0,0,0,0,0,0,21,358.0
orris aster court premier,flat,1.2,5660.0,Super Built up area 2120(196.95 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),2120.0,3.0,4,2,6.0,North-East,Relatively New,W69123064,sector 85,2120.0,1650.0,1550.0,0,1,0,0,0,0,28,706.6666666666666
nul,house,6.25,34722.0,Plot area 200(167.23 sq.m.),1800.0,5.0,5,3,2.0,East,Moderately Old,,sector 25,,1800.0,,0,1,0,1,0,2,112,360.0
park royal apartment,flat,1.71,7600.0,Built Up area: 2251 (209.12 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),2250.0,3.0,3,3+,5.0,North-East,Moderately Old,R68680194,sector 56,,2251.0,2250.0,0,1,0,0,0,2,118,750.0
independent,house,0.55,5000.0,Built Up area: 1100 (102.19 sq.m.),1100.0,2.0,1,0,1.0,,Undefined,,sector 5,,1100.0,,0,0,0,0,0,0,0,550.0
independent,house,5.5,19298.0,Plot area 215(179.77 sq.m.)Built Up area: 2850 sq.yards (2382.96 sq.m.)Carpet area: 2250 sq.yards (1881.29 sq.m.),2850.0,8.0,7,3+,3.0,East,Moderately Old,,sector 43,,2850.0,2250.0,1,1,0,1,1,2,123,356.25
